IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP64;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP77;IP_PROP315;IP_PROP318;IP_PROP83;IP_PROP74;IP_PROP265;IP_PROP81;IP_PROP82;IP_PROP306;IP_PROP268;IP_PROP75;IP_PROP307;IP_PROP288;IP_PROP308;IP_PROP309;IP_PROP316;IP_PROP286;IP_PROP310;IP_PROP311;IP_PROP289;IP_PROP312;IP_PROP313;IP_PROP79;IP_PROP271;IP_PROP272;IP_PROP273;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
1841;Стол NT 120x70 белое дерево/антрацит;https://www.safe.ru/upload/resize_cache/iblock/0f6/240_240_1/nt_120_white_anthracite_min.jpg;;html;stol-nt-120x70-beloe-derevo-antratsit;html;https://www.safe.ru/upload/iblock/195/nt_120_white_anthracite_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм </li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) антрацит</li><li>Столешница NT 120х70х2.5 белое дерево</li><li>Траверса NT 120 (2 шт) антрацит</li></ul> </div>";https://www.safe.ru/upload/iblock/0f6/nt_120_white_anthracite_min.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 белое дерево/антрацит.pdf;750;1200;700;3;антрацит (RAL 7016 муар);белое дерево;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1841;Стол NT 120x70 белое дерево/антрацит;https://www.safe.ru/upload/resize_cache/iblock/0f6/240_240_1/nt_120_white_anthracite_min.jpg;;html;stol-nt-120x70-beloe-derevo-antratsit;html;https://www.safe.ru/upload/iblock/195/nt_120_white_anthracite_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм </li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) антрацит</li><li>Столешница NT 120х70х2.5 белое дерево</li><li>Траверса NT 120 (2 шт) антрацит</li></ul> </div>";https://www.safe.ru/upload/iblock/bbc/stol_big_4.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 белое дерево/антрацит.pdf;750;1200;700;3;антрацит (RAL 7016 муар);белое дерево;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1841;Стол NT 120x70 белое дерево/антрацит;https://www.safe.ru/upload/resize_cache/iblock/0f6/240_240_1/nt_120_white_anthracite_min.jpg;;html;stol-nt-120x70-beloe-derevo-antratsit;html;https://www.safe.ru/upload/iblock/195/nt_120_white_anthracite_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм </li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) антрацит</li><li>Столешница NT 120х70х2.5 белое дерево</li><li>Траверса NT 120 (2 шт) антрацит</li></ul> </div>";https://www.safe.ru/upload/iblock/31d/stol_big_3.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 белое дерево/антрацит.pdf;750;1200;700;3;антрацит (RAL 7016 муар);белое дерево;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1841;Стол NT 120x70 белое дерево/антрацит;https://www.safe.ru/upload/resize_cache/iblock/0f6/240_240_1/nt_120_white_anthracite_min.jpg;;html;stol-nt-120x70-beloe-derevo-antratsit;html;https://www.safe.ru/upload/iblock/195/nt_120_white_anthracite_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм </li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) антрацит</li><li>Столешница NT 120х70х2.5 белое дерево</li><li>Траверса NT 120 (2 шт) антрацит</li></ul> </div>";https://www.safe.ru/upload/iblock/a4c/stol_big_2.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 белое дерево/антрацит.pdf;750;1200;700;3;антрацит (RAL 7016 муар);белое дерево;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1842;Стол NT 120x70 белое дерево/серый;https://www.safe.ru/upload/resize_cache/iblock/d6e/240_240_1/nt_120_white_grey_min.jpg;;html;stol-nt-120x70-beloe-derevo-seryy;html;https://www.safe.ru/upload/iblock/de1/nt_120_white_grey_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) серый</li><li>Столешница NT 120х70х2.5 белое дерево</li><li>Траверса NT 120 (2 шт) серый</li></ul></div>";https://www.safe.ru/upload/iblock/d6e/nt_120_white_grey_min.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 белое дерево/серый.pdf;750;1200;700;3;серый (RAL 9006 муар металлик);белое дерево;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1842;Стол NT 120x70 белое дерево/серый;https://www.safe.ru/upload/resize_cache/iblock/d6e/240_240_1/nt_120_white_grey_min.jpg;;html;stol-nt-120x70-beloe-derevo-seryy;html;https://www.safe.ru/upload/iblock/de1/nt_120_white_grey_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) серый</li><li>Столешница NT 120х70х2.5 белое дерево</li><li>Траверса NT 120 (2 шт) серый</li></ul></div>";https://www.safe.ru/upload/iblock/e17/stol_big.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 белое дерево/серый.pdf;750;1200;700;3;серый (RAL 9006 муар металлик);белое дерево;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1842;Стол NT 120x70 белое дерево/серый;https://www.safe.ru/upload/resize_cache/iblock/d6e/240_240_1/nt_120_white_grey_min.jpg;;html;stol-nt-120x70-beloe-derevo-seryy;html;https://www.safe.ru/upload/iblock/de1/nt_120_white_grey_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) серый</li><li>Столешница NT 120х70х2.5 белое дерево</li><li>Траверса NT 120 (2 шт) серый</li></ul></div>";https://www.safe.ru/upload/iblock/e59/stol_big_2.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 белое дерево/серый.pdf;750;1200;700;3;серый (RAL 9006 муар металлик);белое дерево;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1842;Стол NT 120x70 белое дерево/серый;https://www.safe.ru/upload/resize_cache/iblock/d6e/240_240_1/nt_120_white_grey_min.jpg;;html;stol-nt-120x70-beloe-derevo-seryy;html;https://www.safe.ru/upload/iblock/de1/nt_120_white_grey_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) серый</li><li>Столешница NT 120х70х2.5 белое дерево</li><li>Траверса NT 120 (2 шт) серый</li></ul></div>";https://www.safe.ru/upload/iblock/df7/stol_big_3.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 белое дерево/серый.pdf;750;1200;700;3;серый (RAL 9006 муар металлик);белое дерево;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1843;Стол NT 120x70 вяз натуральный/антрацит;https://www.safe.ru/upload/resize_cache/iblock/732/240_240_1/nt_120_elm_anthracite_min.jpg;;html;stol-nt-120x70-vyaz-naturalnyy-antratsit;html;https://www.safe.ru/upload/iblock/8bb/nt_120_elm_anthracite_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) антрацит</li><li>Столешница NT 120х70х2.5 вяз натуральный</li><li>Траверса NT 120 (2 шт) антрацит</li></ul></div>";https://www.safe.ru/upload/iblock/732/nt_120_elm_anthracite_min.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 вяз натуральный/антрацит.pdf;750;1200;700;3;антрацит (RAL 7016 муар);вяз натуральный;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1843;Стол NT 120x70 вяз натуральный/антрацит;https://www.safe.ru/upload/resize_cache/iblock/732/240_240_1/nt_120_elm_anthracite_min.jpg;;html;stol-nt-120x70-vyaz-naturalnyy-antratsit;html;https://www.safe.ru/upload/iblock/8bb/nt_120_elm_anthracite_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) антрацит</li><li>Столешница NT 120х70х2.5 вяз натуральный</li><li>Траверса NT 120 (2 шт) антрацит</li></ul></div>";https://www.safe.ru/upload/iblock/22f/stol_big.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 вяз натуральный/антрацит.pdf;750;1200;700;3;антрацит (RAL 7016 муар);вяз натуральный;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1843;Стол NT 120x70 вяз натуральный/антрацит;https://www.safe.ru/upload/resize_cache/iblock/732/240_240_1/nt_120_elm_anthracite_min.jpg;;html;stol-nt-120x70-vyaz-naturalnyy-antratsit;html;https://www.safe.ru/upload/iblock/8bb/nt_120_elm_anthracite_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) антрацит</li><li>Столешница NT 120х70х2.5 вяз натуральный</li><li>Траверса NT 120 (2 шт) антрацит</li></ul></div>";https://www.safe.ru/upload/iblock/c9d/stol_big_2.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 вяз натуральный/антрацит.pdf;750;1200;700;3;антрацит (RAL 7016 муар);вяз натуральный;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1843;Стол NT 120x70 вяз натуральный/антрацит;https://www.safe.ru/upload/resize_cache/iblock/732/240_240_1/nt_120_elm_anthracite_min.jpg;;html;stol-nt-120x70-vyaz-naturalnyy-antratsit;html;https://www.safe.ru/upload/iblock/8bb/nt_120_elm_anthracite_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) антрацит</li><li>Столешница NT 120х70х2.5 вяз натуральный</li><li>Траверса NT 120 (2 шт) антрацит</li></ul></div>";https://www.safe.ru/upload/iblock/0ef/stol_big_3.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 вяз натуральный/антрацит.pdf;750;1200;700;3;антрацит (RAL 7016 муар);вяз натуральный;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1844;Стол NT 120x70 вяз натуральный/серый;https://www.safe.ru/upload/resize_cache/iblock/f1c/240_240_1/nt_120_elm_grey_min.jpg;;html;stol-nt-120x70-vyaz-naturalnyy-seryy;html;https://www.safe.ru/upload/iblock/193/nt_120_elm_grey_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) серый</li><li>Столешница NT 120х70х2.5 вяз натуральный</li><li>Траверса NT 120 (2 шт) серый</li></ul></div>";https://www.safe.ru/upload/iblock/f1c/nt_120_elm_grey_min.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 вяз натуральный/серый.pdf;750;1200;700;3;серый (RAL 9006 муар металлик);вяз натуральный;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1844;Стол NT 120x70 вяз натуральный/серый;https://www.safe.ru/upload/resize_cache/iblock/f1c/240_240_1/nt_120_elm_grey_min.jpg;;html;stol-nt-120x70-vyaz-naturalnyy-seryy;html;https://www.safe.ru/upload/iblock/193/nt_120_elm_grey_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) серый</li><li>Столешница NT 120х70х2.5 вяз натуральный</li><li>Траверса NT 120 (2 шт) серый</li></ul></div>";https://www.safe.ru/upload/iblock/018/stol_big.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 вяз натуральный/серый.pdf;750;1200;700;3;серый (RAL 9006 муар металлик);вяз натуральный;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1844;Стол NT 120x70 вяз натуральный/серый;https://www.safe.ru/upload/resize_cache/iblock/f1c/240_240_1/nt_120_elm_grey_min.jpg;;html;stol-nt-120x70-vyaz-naturalnyy-seryy;html;https://www.safe.ru/upload/iblock/193/nt_120_elm_grey_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) серый</li><li>Столешница NT 120х70х2.5 вяз натуральный</li><li>Траверса NT 120 (2 шт) серый</li></ul></div>";https://www.safe.ru/upload/iblock/dec/stol_big_2.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 вяз натуральный/серый.pdf;750;1200;700;3;серый (RAL 9006 муар металлик);вяз натуральный;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
1844;Стол NT 120x70 вяз натуральный/серый;https://www.safe.ru/upload/resize_cache/iblock/f1c/240_240_1/nt_120_elm_grey_min.jpg;;html;stol-nt-120x70-vyaz-naturalnyy-seryy;html;https://www.safe.ru/upload/iblock/193/nt_120_elm_grey_big.jpg;"<div class=""text-block""><p>Столы офисные на металлокаркасе предназначены для самого широкого использования дома и на работе, обустройстве офисов, аудиторий, переговорных, школ. Удобны и просты в эксплуатации.</p><ul><li>Столешница - ламинированная  плита ДСтП 25 мм, кромка ABC 2 мм </li><li>Опоры металлические - две  П-образные опоры из труб сечением 60*30 мм</li><li>Две металлические траверсы </li><li>Соединение деталей металлокаркаса при помощи винтов</li><li>Порошковое покрытие муар</li><li>Опоры со скрытой регулировкой по высоте</li><li>Поставляется в разобранном виде</li></ul><p><b>Особенности:</b></p><ul><li>Визуально «парящая» столешница с отрывом от  опор стола </li><li>Жесткость конструкции обеспечивает уникальная система крепления элементов металлокаркаса </li><li>Возможность установки настольных экранов  и защитных панелей (в комплект стола не входят)  </li><li>Столы сочетаются по материалам изготовления и дизайну с тумбами офисными серии NP </li></ul><p><b>Комплектация:</b></p><ul><li>Опора NT 70 (2 шт) серый</li><li>Столешница NT 120х70х2.5 вяз натуральный</li><li>Траверса NT 120 (2 шт) серый</li></ul></div>";https://www.safe.ru/upload/iblock/7ce/stol_big_3.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Стол NT 120x70 вяз натуральный/серый.pdf;750;1200;700;3;серый (RAL 9006 муар металлик);вяз натуральный;1 год;ПРОМЕТ;;;;;;;;;;;;;;;;;;;;;;Офисная мебель;Офисные столы;Столы серии NT;12 770;RUB
