IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP64;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP81;IP_PROP325;IP_PROP328;IP_PROP329;IC_GROUP0;IC_GROUP1;CV_PRICE_1;CV_CURRENCY_1
3195;Однотумбовый металлический верстак ВП-3Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_3.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_3.jpg;"<p>Верстак ВП-3 состоит: столешница из МДФ, покрытая оцинкованным листовым металлом; стенка задняя металлическая; металлическая верстачная опора; тумба с 5-ю выдвижными ящиками на <span class=""bold"">телескопических направляющих</span> (нагрузка до 30 кг) запирающимися на центральный замок; полка верстачная (нагрузка до 40 кг). Тумбу можно установить как с левой, так и с правой стороны верстака. Верстак может комплектоваться перфорированным экраном соответствующего размера с возможностью крепления крючков и держателей для инструмента.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>";https://paksmet.ru/components/com_jshopping/files/img_products/___________2.png;https://paksmet.ru/catalog/pasport/pasport_vp.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3195;Однотумбовый металлический верстак ВП-3Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_3.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_3.jpg;"<p>Верстак ВП-3 состоит: столешница из МДФ, покрытая оцинкованным листовым металлом; стенка задняя металлическая; металлическая верстачная опора; тумба с 5-ю выдвижными ящиками на <span class=""bold"">телескопических направляющих</span> (нагрузка до 30 кг) запирающимися на центральный замок; полка верстачная (нагрузка до 40 кг). Тумбу можно установить как с левой, так и с правой стороны верстака. Верстак может комплектоваться перфорированным экраном соответствующего размера с возможностью крепления крючков и держателей для инструмента.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>";https://paksmet.ru/components/com_jshopping/files/img_products/___________2.png;https://paksmet.ru/catalog/sertifikat/NS-3.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3195;Однотумбовый металлический верстак ВП-3Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_3.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_3.jpg;"<p>Верстак ВП-3 состоит: столешница из МДФ, покрытая оцинкованным листовым металлом; стенка задняя металлическая; металлическая верстачная опора; тумба с 5-ю выдвижными ящиками на <span class=""bold"">телескопических направляющих</span> (нагрузка до 30 кг) запирающимися на центральный замок; полка верстачная (нагрузка до 40 кг). Тумбу можно установить как с левой, так и с правой стороны верстака. Верстак может комплектоваться перфорированным экраном соответствующего размера с возможностью крепления крючков и держателей для инструмента.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>";https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_CART.jpg;https://paksmet.ru/catalog/pasport/pasport_vp.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3195;Однотумбовый металлический верстак ВП-3Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_3.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_3.jpg;"<p>Верстак ВП-3 состоит: столешница из МДФ, покрытая оцинкованным листовым металлом; стенка задняя металлическая; металлическая верстачная опора; тумба с 5-ю выдвижными ящиками на <span class=""bold"">телескопических направляющих</span> (нагрузка до 30 кг) запирающимися на центральный замок; полка верстачная (нагрузка до 40 кг). Тумбу можно установить как с левой, так и с правой стороны верстака. Верстак может комплектоваться перфорированным экраном соответствующего размера с возможностью крепления крючков и держателей для инструмента.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>";https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_CART.jpg;https://paksmet.ru/catalog/sertifikat/NS-3.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3199;Двухтумбовый металлический верстак ВП-5;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_5.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_5.jpg;"<p>Верстак ВП-5 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом; стенка задняя металлическая; две тумбы с 2-мя съемными полками (нагрузка 30 кг); дверь запирающаяся замком; полка верстачная (нагрузка 40 кг). Верстак может комплектоваться перфорированным экраном соответствующего размера с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>";https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_SHAM.jpg;https://paksmet.ru/catalog/pasport/pasport_vp.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3199;Двухтумбовый металлический верстак ВП-5;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_5.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_5.jpg;"<p>Верстак ВП-5 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом; стенка задняя металлическая; две тумбы с 2-мя съемными полками (нагрузка 30 кг); дверь запирающаяся замком; полка верстачная (нагрузка 40 кг). Верстак может комплектоваться перфорированным экраном соответствующего размера с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>";https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_SHAM.jpg;https://paksmet.ru/catalog/sertifikat/NS-3.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/___________11.png;https://paksmet.ru/catalog/pasport/pasport_vp.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/___________11.png;https://paksmet.ruhttps://www.youtube.com/watch?v=2r-nCAil6ws;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/___________11.png;https://paksmet.ru/catalog/sertifikat/NS-3.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_SHAM.jpg;https://paksmet.ru/catalog/pasport/pasport_vp.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_SHAM.jpg;https://paksmet.ruhttps://www.youtube.com/watch?v=2r-nCAil6ws;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_SHAM.jpg;https://paksmet.ru/catalog/sertifikat/NS-3.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_CART.jpg;https://paksmet.ru/catalog/pasport/pasport_vp.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_CART.jpg;https://paksmet.ruhttps://www.youtube.com/watch?v=2r-nCAil6ws;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
3202;Двухтумбовый металлический верстак ВП-4;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_Verstak_vp_4.jpg;;html;;html;https://paksmet.ru/components/com_jshopping/files/img_products/Verstak_vp_4.jpg;<p>Верстак ВП-4 состоит из отдельных модулей: столешница из МДФ, покрытая оцинкованным листовым металлом, стенка задняя – металлическая, тумба с двумя съемными полками (нагрузка до 30 кг) и дверью запирающейся замком, тумба с 5-ю выдвижными ящиками (нагрузка до 30 кг) запирающимися на центральный замок, полка верстачная (нагрузка до 40 кг).  Верстак может комплектоваться перфорированным экраном соответствующего размера  с возможностью крепления крючков и держателей для инструмента – заказывается отдельно.</p><ul><li>Габариты изделий приведены без учета габаритов выступающих деталей (замков и т.п.).</li><li>Допустимое отклонение +/-10% от веса изделия.</li><li>Цвет изделия может отличаться от представленного на фотографии.</li></ul>;https://paksmet.ru/components/com_jshopping/files/img_products/Zamok_CART.jpg;https://paksmet.ru/catalog/sertifikat/NS-3.pdf;Paksmet;Россия;294;;;;;Верстаки и Инструментальные шкафы;Верстаки;;RUB
