IE_XML_ID;IE_NAME;FILE NAME;URL
2661;Односекционный металлический шкаф для одежды ШРМ-11;Инструкция / паспорт изделия по сборке металлического шкафа Односекционный металлический шкаф для одежды ШРМ-11.pdf;https://paksmet.ru/catalog/pasport/instr_shrm.pdf
2661;Односекционный металлический шкаф для одежды ШРМ-11;Техническое задание Шкаф ШРМ-11 Односекционный металлический шкаф для одежды ШРМ-11.docx;https://paksmet.ru/catalog/tz/SHRM-11.docx
2661;Односекционный металлический шкаф для одежды ШРМ-11;Техническое задание Шкаф ШРМ-11/400 Односекционный металлический шкаф для одежды ШРМ-11.docx;https://paksmet.ru/catalog/tz/SHRM-11-400.docx
2661;Односекционный металлический шкаф для одежды ШРМ-11;Сертификаты Односекционный металлический шкаф для одежды ШРМ-11.pdf;https://paksmet.ru/catalog/sertifikat/NS-1.pdf
2664;Двухсекционный металлический шкаф для одежды ШРМ-АК;Инструкция / паспорт изделия по сборке металлического шкафа Двухсекционный металлический шкаф для одежды ШРМ-АК.pdf;https://paksmet.ru/catalog/pasport/instr_modules.pdf
2664;Двухсекционный металлический шкаф для одежды ШРМ-АК;Техническое задание Шкаф ШРМ-АК/500 Двухсекционный металлический шкаф для одежды ШРМ-АК.docx;https://paksmet.ru/catalog/tz/SHRM-AK-500.docx
2664;Двухсекционный металлический шкаф для одежды ШРМ-АК;Техническое задание Шкаф ШРМ-АК Двухсекционный металлический шкаф для одежды ШРМ-АК.docx;https://paksmet.ru/catalog/tz/SHRM-AK.docx
2664;Двухсекционный металлический шкаф для одежды ШРМ-АК;Техническое задание Шкаф ШРМ-АК/800 Двухсекционный металлический шкаф для одежды ШРМ-АК.docx;https://paksmet.ru/catalog/tz/SHRM-AK-800.docx
2664;Двухсекционный металлический шкаф для одежды ШРМ-АК;Видео по сборке шкафа ШРМ-АК Двухсекционный металлический шкаф для одежды ШРМ-АК.com/watch?v=gk90B45cfZY;https://paksmet.ruhttps://www.youtube.com/watch?v=gk90B45cfZY
2664;Двухсекционный металлический шкаф для одежды ШРМ-АК;Сертификаты Двухсекционный металлический шкаф для одежды ШРМ-АК.pdf;https://paksmet.ru/catalog/sertifikat/NS-1.pdf
2668;Трехсекционный металлический шкаф для одежды ШРМ-33;Инструкция / паспорт изделия по сборке металлического шкафа Трехсекционный металлический шкаф для одежды ШРМ-33.pdf;https://paksmet.ru/catalog/pasport/shrm-33.pdf
2668;Трехсекционный металлический шкаф для одежды ШРМ-33;Техническое задание Шкаф ШРМ-33 Трехсекционный металлический шкаф для одежды ШРМ-33.docx;https://paksmet.ru/catalog/tz/SHRM-33.docx
